
  #  English                      Italiano           Français                   Malagasy           Ny fiteninao
_______________________________________________________________________________________________________________

150  water                        acqua              eau                        rano               
151  rain                         pioggia            pluie                      orana              
152  river                        fiume              rivière                    renirano           
153  lake                         lago               lac                        farihy             
154  sea                          mare               mer                        ranomasina         
155  salt                         sale               sel                        sira               
156  stone                        pietra             pierre                     vato               
157  sand                         sabbia             sable                      fasika             
158  dust                         polvere            poussière                  vovoka             
159  earth                        terra              terre                      tany               
160  cloud                        nuvola             nuage                      rahona             
161  fog                          nebbia             brouillard                 zavona             
162  sky                          cielo              ciel                       lanitra            
163  wind                         vento              vent                       rivotra            
164  snow                         neve               neige                      ranomandry         
165  ice                          ghiaccio           glace                      ranomandry         
166  smoke                        fumo               fumée                      setroka            
167  fire                         fuoco              feu                        afo                
168  ash                          cenere             cendre                     lavenona           
169  to burn                      bruciare           brûler                     mandoro            
170  road                         strada             route                      lalana             
171  mountain                     montagna           montagne                   tendrombohitra     
172  red                          rosso              rouge                      mena               
173  green                        verde              vert                       maitso             
174  yellow                       giallo             jaune                      mavo               
175  white                        bianco             blanc                      fotsy              
176  black                        nero               noir                       mainty             
177  night                        notte              nuit                       alina              
178  day                          giorno             jour                       andro              
179  year                         anno               an (année)                 taona              
180  warm                         caldo              chaud                      mafana             
181  cold                         freddo             froid                      mangatsiaka        
182  full                         pieno              plein                      feno               
183  new                          nuovo              nouveau                    vaovao             
184  old                          vecchio            vieux                      antitra            
185  good                         buono              bon                        tsara              
186  bad                          cattivo            mauvais                    ratsy              
187  rotten                       marcio             pourri                     lo                 
188  dirty                        sporco             sale                       maloto             
189  straight                     dritto             droit                      mahitsy            
190  round                        rotondo            rond                       boribory           
191  sharp (as a knife)           affilato           tranchant                  maranitra          
192  dull (as a knife)            smussato           émoussé                    dombo              
193  smooth                       liscio             lisse                      malama             
194  wet                          bagnato            mouillé                    mando              
195  dry                          secco              sec                        maina              
196  correct (just; right)        giusto             juste (correct)            mety               
197  near                         vicino             près                       akaiky             
198  far                          lontano            loin                       lavitra            
199  right (adj.)                 destra             droite                     havanana           
200  left (adj.)                  sinistra           gauche                     havia              
201  at                           a                  à                          any                
202  in                           in                 dans                       anaty              
203  with                         con                avec                       amin'ny            
204  and                          e                  et                         sy                 
205  if                           se                 si                         raha               
206  because                      perché             parce que                  satria             
207  name                         nome               nom                        anarana            
