,Sakalava (Maintirano),Betsimisaraka (Mahanoro),Antankarana (Ambilobe),Mikea (Analamena),Antankarana (Vohemar),Masikoro (Miary),Antankarana (Antalaha),Sakalava (Ambanja),Sakalava (Majunga),Merina (Antananarivo),Sakalava (Morondava),Betsimisaraka (Fenoarivo-Est),Antanosy (Tolagnaro),Antandroy (Ambovombe),Betsileo (Fianarantsoa),Vezo (Toliara),Sihanaka (Ambatondranzaka),Tsimihety (Mandritsara),Mahafaly (Ampanihy),Antambohoaka (Mananjary),Antaisaka (Vangaindrano),Antaimoro (Manakara),Zafisoro (Farafangana),Bara (Betroka)
79,glasy,glasy,ranomandry,mangatsakatsake,gilasy,rano mipantry,gilasy,lagilasy,la glace,rano mandry,glasy,gilasy,rano mivonga,ranomivongagne,rano mandry,rano mivonga,glasy,lagilasy,ranomandre,rano mandry,glatsy,rano mivengana,rano mandry,rano mandry
80,raha,raha,izy koa,raha,raha,laha,yzy koa,raha,izy koa moa,raha,laha,raha,no,naho,raha,laha,raha,raohatra,laha,raha,ra,la,ra,raha
81,agnaty,agnaty,agnaty,anatine,agnatiny,agnaty,agnaty,agnatiny,anatiny,anaty,agnatiny,agnatity,agnatiny,agnaty,anaty,anaty,anaty,agnatiny,agnatene,agnaty,aganty,agnatiny,agnaty,agnaty
82,mamono,mamono,mamono,mamono,mamono,mamano,mamono,mamono,mamono,mamono,mamono,mamono,mamono,mamono,mamono,mamono,mamono,mamono,mamono,mamono,mamono,mamono,mamono,mamono
83,mahay,mahe,mahay,mahay,mahay,mahay,mahay,mahay,mahay,mahay,mahay,mahay,mahay,mahay,mahay,mahay,mahay,mahay,mahay,mahay,mahay,mahay,mahalala,mahay
84,ranovory,farihy,matsabory,ranovory,farihy,kitoboke,matsabory,matsabory,matsabory,farihy,dobo,dobo,farihy,sihanake,farihy,dobo,farihy,matsabory,farihy,kanaly,dobondrano,dobo,lepaky,farihy
85,mihehy,mimehy,mitokiky,mihehe,mitokiky,mihehy,mimoehy,mitokiky,homehy,mihomehy,mivagnitiky,mimoehy,homehy,mihehy,mihomehy,mihehy,mivanitika,mimoehy,homehe,mihomehy,omehy,mime,mihehy,mihehy
86,ravy,ravina,ravigny,ravine,raviny,ravi,raviny,ravigny,feliky,ravina,ravy,ravindraha,raviny,ravegne,ravina,ravy,ravina,raviny,rave,ravigna,raviny,ravigna,ravy,tandregna
87,havia,avia,ankavia,ankavia,ankavia,havia,ankavia,ankavia,havia,havia,havia,ankavia,havia,havia,havia,havia,ankavia,ankavia,havia,havia,akavia,havia,akavia,havia
88,randro,vovitsy,vavitsy,taola maike,kirandra,taola maiky,peky,peky,ranjo,ranjo,ranjo,vavitsy,ranjo,ranjo,ranjo,tomboke,ranjo,hongotro,ranjo,ranjo,randro,vovisy,randro,tsipeko
