ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
sakalavamaintirano-3_animal-1,,sakalavamaintirano,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
betsimisarakamahanoro-3_animal-1,,betsimisarakamahanoro,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
antankaranaambilobe-3_animal-1,,antankaranaambilobe,3_animal,kaka,kaka,k a k a,,Serva2011,,,^ k a k a $,default
mikeaanalamena-3_animal-1,,mikeaanalamena,3_animal,tsiboko,tsiboko,ts i b o k o,,Serva2011,,,^ ts i b o k o $,default
antankaranavohemar-3_animal-1,,antankaranavohemar,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
masikoromiary-3_animal-1,,masikoromiary,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
antankaranaantalaha-3_animal-1,,antankaranaantalaha,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
sakalavaambanja-3_animal-1,,sakalavaambanja,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
sakalavamajunga-3_animal-1,,sakalavamajunga,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
merinaantananarivo-3_animal-1,,merinaantananarivo,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
sakalavamorondava-3_animal-1,,sakalavamorondava,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
betsimisarakafenoarivoest-3_animal-1,,betsimisarakafenoarivoest,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
antanosytolagnaro-3_animal-1,,antanosytolagnaro,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
antandroyambovombe-3_animal-1,,antandroyambovombe,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
betsileofianarantsoa-3_animal-1,,betsileofianarantsoa,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
vezotoliara-3_animal-1,,vezotoliara,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
sihanakaambatondranzaka-3_animal-1,,sihanakaambatondranzaka,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
tsimihetymandritsara-3_animal-1,,tsimihetymandritsara,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
mahafalyampanihy-3_animal-1,,mahafalyampanihy,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
antambohoakamananjary-3_animal-1,,antambohoakamananjary,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
antaisakavangaindrano-3_animal-1,,antaisakavangaindrano,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
antaimoromanakara-3_animal-1,,antaimoromanakara,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
zafisorofarafangana-3_animal-1,,zafisorofarafangana,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
barabetroka-3_animal-1,,barabetroka,3_animal,biby,biby,b i b j,,Serva2011,,,^ b i b y $,default
