Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^k	k	kakazo, kobay	SakalavaMahajanga, SakalavaMaintirano, MerinaAntananarivo, BetsimisarakaMahanoro, AntankaranaVohemar, BetsimisarakaFenoarivo-Est, BetsileoFianarantsoa, AntambohoakaMananjary, AntandroyAmbovombe, SihanakaAmbatondrazaka, BaraBetroka, MahafalyAmpanihy, MikeaAmpoakafo, AntanosyTolagnaro, SakalavaAmbanja, MasikoroMiary, AntaisakaVangaindrano, AntaimoroManakara, AntankaranaAmbilobe, BetsileoAmbositra, BetsimisarakaAntalaha, TsimihetyMandritsara, SakalavaMorondava, ZafisoroFarafangana, VezoToliara	100	U+005e U+006b
^l	l	lava, lela	SakalavaAmbanja, BetsimisarakaAntalaha, AntankaranaAmbilobe, MahafalyAmpanihy, SihanakaAmbatondrazaka, AntandroyAmbovombe, MikeaAmpoakafo, MerinaAntananarivo	100	U+005e U+006c
^m	m	mandry, mahay	SakalavaAmbanja, SihanakaAmbatondrazaka	100	U+005e U+006d
^mh	mh/m	mhina	BetsimisarakaAntsiranana	1	U+005e U+006d U+0068
^mm	mm/m	mmanara	BetsileoAmbohimahasoa	1	U+005e U+006d U+006d
^n	n	nify, nareo	AntanalanaAnakao, TsimihetyMampikony, AntandroyAmbovombe, SakalavaMahajanga, MahafalyAmpanihy, VezoMorombe, SakalavaAmbanja, AntanalanaManorofify, SihanakaAmbatondrazaka, AntankaranaVohemar, BetsileoAmbalavao, BetsimisarakaToamasina, AntandroyToliara, AntanalanaItampolo, SakalavaMaintirano, SakalavaMiandrivazo, AntankaranaAmbilobe, TsimihetyAndapa, NosyBorahaAmbodifotatra, BetsileoAmbositra, BetsimisarakaAntalaha, BetsimisarakaFenoarivo-Est, BetsileoFianarantsoa, AntanosyBezaha, VezoMorondava, MikeaAmpoakafo, BaraIhosy, AntanosyTolagnaro, TsimihetyMandritsara, SakalavaMorondava, VezoToliara, BetsimisarakaMahanoro, AntaisakaVangaindrano, BetsimisarakaMarolambo, AntambohoakaMananjary, BaraBetroka, BaraRanohira, BetsimisarakaMananara, BetsimisarakaAntsiranana, TanalaIfanadiana, AntaimoroManakara, BetsimisarakaBrickaville, MasikoroMiary, MerinaAntananarivo, ZafisoroFarafangana	100	U+005e U+006e
^o	u	olo, oro	BetsimisarakaMahanoro, SihanakaAmbatondrazaka, AntaisakaVangaindrano, BaraBetroka, SakalavaMahajanga, AntanosyTolagnaro, AntaimoroManakara, MasikoroMiary, VezoToliara, BetsimisarakaFenoarivo-Est, BetsileoFianarantsoa, AntambohoakaMananjary, AntandroyAmbovombe, MahafalyAmpanihy, SakalavaMaintirano, SakalavaMorondava, AntankaranaAmbilobe, MerinaAntananarivo, ZafisoroFarafangana, BetsimisarakaAntalaha, MikeaAmpoakafo, SakalavaAmbanja, AntankaranaVohemar, TsimihetyMandritsara	100	U+005e U+006f
^o$	u	o	BetsimisarakaTanambaoManampotsy, BetsimisarakaMarolambo	2	U+005e U+006f U+0024
^p	p	pokopoko, papa	BaraIhosy, ZafisoroFarafangana, AntaisakaVangaindrano, BaraRanohira, AntanosyBelamoty, SakalavaBesalampy, TsimihetyAndapa, SihanakaAndilamena, SihanakaAmbatondrazaka, BetsimisarakaTanambaoManampotsy, AntanosyBezaha, BaraBetroka, MikeaAmpoakafo, SakalavaAmbanja, AntanosyTolagnaro, BetsimisarakaToamasina, BetsimisarakaAntalaha	24	U+005e U+0070
^r	r	rano, ratsy	MerinaAntananarivo, AntandroyAmbovombe, SihanakaAmbatondrazaka, MahafalyAmpanihy, MikeaAmpoakafo, BaraBetroka, BetsimisarakaAntalaha, AntankaranaAmbilobe, SakalavaAmbanja, ZafisoroFarafangana	100	U+005e U+0072
^s	s	sira, satria	AntandroyAmbovombe, MahafalyAmpanihy, SakalavaMaintirano, MasikoroMiary, SihanakaAmbatondrazaka, BetsileoFianarantsoa, BaraBetroka, SakalavaMorondava, SakalavaMahajanga, AntaimoroManakara, MerinaAntananarivo, ZafisoroFarafangana, BetsimisarakaMahanoro, MikeaAmpoakafo, TsimihetyMandritsara, BetsimisarakaFenoarivo-Est, AntanosyTolagnaro, AntankaranaAmbilobe, SakalavaAmbanja, BetsimisarakaAntalaha, AntambohoakaMananjary	100	U+005e U+0073
^t	t	telo, tratra	MahafalyAmpanihy, MerinaAntananarivo, SihanakaAmbatondrazaka, BetsimisarakaAntalaha, MikeaAmpoakafo, AntankaranaAmbilobe, AntandroyAmbovombe, SakalavaAmbanja, BaraBetroka	100	U+005e U+0074
